LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,LABEL_SORT_ORDER,COMPLETER_TYPE,LABEL_LVL_1_DESC,LABEL_LVL_5_CD,PROGRAM_TOTAL,PROGRAM_PERCENT
2016-17,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2016-17,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2016-17,603,Bacon County,302,Bacon County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2016-17,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2016-17,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2016-17,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2016-17,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2016-17,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,White,,
2016-17,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2016-17,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2016-17,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2016-17,603,Bacon County,302,Bacon County High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2016-17,603,Bacon County,302,Bacon County High School,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2016-17,603,Bacon County,302,Bacon County High School,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2016-17,603,Bacon County,302,Bacon County High School,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2016-17,603,Bacon County,302,Bacon County High School,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2016-17,603,Bacon County,302,Bacon County High School,3,Graduates,Diplomas with Vocational Endorsements,White,,
2016-17,603,Bacon County,302,Bacon County High School,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2016-17,603,Bacon County,302,Bacon County High School,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2016-17,603,Bacon County,302,Bacon County High School,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2016-17,603,Bacon County,302,Bacon County High School,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2016-17,603,Bacon County,302,Bacon County High School,4,Other Completers,Special Education Diplomas,Male,,
2016-17,603,Bacon County,302,Bacon County High School,4,Other Completers,Special Education Diplomas,Female,,
2016-17,603,Bacon County,302,Bacon County High School,4,Other Completers,Special Education Diplomas,Total,,
2016-17,603,Bacon County,302,Bacon County High School,4,Other Completers,Special Education Diplomas,Black,,
2016-17,603,Bacon County,302,Bacon County High School,4,Other Completers,Special Education Diplomas,White,,
2016-17,603,Bacon County,302,Bacon County High School,4,Other Completers,Special Education Diplomas,Hispanic,,
