,school code,agency name,total operational schools,county name,highest grade taught,fall population,state revenue - lunch,expenditure - food,expenditure - textbooks,state revenue - transport,sat - district name,sat - test component,sat - state average,sat - district average,sat - score bracket,act - district name,act - state average,act - district average,act - score bracket
76,629,CLARKE COUNTY,22,Clarke County,12th Grade,13600.0,225000,9810000,57000,1053000,Clarke County,Combined Test Score,1052,980.0,Below Average,Clarke County,21.0,18.8,Below Average
77,629,CLARKE COUNTY,22,Clarke County,12th Grade,13600.0,225000,9810000,57000,1053000,Clarke County,Combined Test Score,1052,980.0,Below Average,Clarke County,21.0,18.8,Below Average
78,629,CLARKE COUNTY,22,Clarke County,12th Grade,13600.0,225000,9810000,57000,1053000,Clarke County,Combined Test Score,1052,980.0,Below Average,Clarke County,21.0,18.8,Below Average
79,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
80,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
81,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
82,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
83,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
84,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
85,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
86,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
87,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
88,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
89,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
90,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
91,631,CLAYTON COUNTY,63,Clayton County,12th Grade,54530.0,923000,37269000,8630000,2327000,Clayton County,Combined Test Score,1052,950.0,Below Average,Clayton County,21.0,17.8,Below Average
92,632,CLINCH COUNTY,3,Clinch County,12th Grade,1405.0,21000,938000,54000,206000,Clinch County,Combined Test Score,1052,990.0,Average,Clinch County,21.0,,0
93,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
94,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
95,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
96,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
97,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
98,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
99,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
100,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
101,633,COBB COUNTY,110,Cobb County,12th Grade,112084.0,1359000,54221000,7888000,5212000,Cobb County,Combined Test Score,1052,1112.0,Average,Cobb County,21.0,22.7,Average
