,scode,School Dist Name,Test Component,State Avg Score,Dist Avg Score,Test Score Bracket
342,728,Stewart County,Combined Test Score,1052,877.0,Below Average
343,729,Sumter County,Combined Test Score,1052,910.0,Below Average
344,730,Talbot County,Combined Test Score,1052,897.0,Below Average
345,732,Tattnall County,Combined Test Score,1052,1003.0,Average
346,733,Taylor County,Combined Test Score,1052,983.0,Below Average
347,734,Telfair County,Combined Test Score,1052,984.0,Below Average
348,735,Terrell County,Combined Test Score,1052,931.0,Below Average
349,736,Thomas County,Combined Test Score,1052,1004.0,Average
350,736,Thomas County,Combined Test Score,1052,1004.0,Average
351,737,Tift County,Combined Test Score,1052,968.0,Below Average
352,738,Toombs County,Combined Test Score,1052,923.0,Below Average
353,739,Towns County,Combined Test Score,1052,1051.0,Average
354,740,Treutlen County,Combined Test Score,1052,954.0,Below Average
355,741,Troup County,Combined Test Score,1052,1030.0,Average
356,741,Troup County,Combined Test Score,1052,1030.0,Average
357,741,Troup County,Combined Test Score,1052,1030.0,Average
358,742,Turner County,Combined Test Score,1052,1012.0,Average
359,743,Twiggs County,Combined Test Score,1052,919.0,Below Average
360,744,Union County,Combined Test Score,1052,1048.0,Average
361,745,Thomaston-Upson County,Combined Test Score,1052,987.0,Average
362,746,Walker County,Combined Test Score,1052,1156.0,Above Average
363,746,Walker County,Combined Test Score,1052,1156.0,Above Average
364,747,Walton County,Combined Test Score,1052,1050.0,Average
365,747,Walton County,Combined Test Score,1052,1050.0,Average
366,747,Walton County,Combined Test Score,1052,1050.0,Average
367,748,Ware County,Combined Test Score,1052,1024.0,Average
368,749,Warren County,Combined Test Score,1052,1000.0,Average
369,750,Washington County,Combined Test Score,1052,963.0,Below Average
370,751,Wayne County,Combined Test Score,1052,1021.0,Average
371,752,Webster County,Combined Test Score,1052,918.0,Below Average
372,753,Wheeler County,Combined Test Score,1052,933.0,Below Average
373,754,White County,Combined Test Score,1052,1043.0,Average
374,755,Whitfield County,Combined Test Score,1052,1025.0,Average
375,755,Whitfield County,Combined Test Score,1052,1025.0,Average
376,755,Whitfield County,Combined Test Score,1052,1025.0,Average
377,755,Whitfield County,Combined Test Score,1052,1025.0,Average
378,756,Wilcox County,Combined Test Score,1052,1052.0,Average
379,757,Wilkes County,Combined Test Score,1052,962.0,Below Average
380,758,Wilkinson County,Combined Test Score,1052,967.0,Below Average
381,759,Worth County,Combined Test Score,1052,979.0,Below Average
382,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
383,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
384,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
385,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
386,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
387,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
388,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
389,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
390,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
391,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
392,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
393,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
394,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
395,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
396,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
397,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
398,761,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average
399,763,Bremen City,Combined Test Score,1052,1114.0,Average
400,764,Buford City,Combined Test Score,1052,1131.0,Above Average
401,765,Calhoun City,Combined Test Score,1052,1046.0,Average
402,766,Carrollton City,Combined Test Score,1052,1056.0,Average
403,767,Cartersville City,Combined Test Score,1052,1072.0,Average
