State Agency ID [District] 2017-18,Agency Name,State Name [District] Latest available year,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2017-18,Individualized Education Program Students [District] 2017-18,Direct Certification [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [District] 2017-18,Grades 9-12 Students [District] 2017-18,Female Students [District] 2017-18,Male Students [District] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [District] 2017-18,Asian or Asian/Pacific Islander Students [District] 2017-18,Hispanic Students [District] 2017-18,Black Students [District] 2017-18,White Students [District] 2017-18,Hawaiian Nat./Pacific Isl. Students [District] 2017-18,Two or More Races Students [District] 2017-18,Total Race/Ethnicity [District] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black Students [Public School] 2017-18,White Students [Public School] 2017-18,Hawaiian Nat./Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,State Name [District] 2017-18,Agency Name [District] 2017-18,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2017-18,County Number [District] 2017-18,Lowest Grade Offered [District] 2017-18,Highest Grade Offered [District] 2017-18,Agency Type [District] 2017-18,School District Level Code (SCHLEV) [District Finance] 2017-18,Full-Time Equivalent (FTE) Teachers [District] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [District] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18,Total Staff [District] 2017-18,Instructional Aides [District] 2017-18,Instructional Coordinators [District] 2017-18,Elementary Guidance Counselors [District] 2017-18,Secondary Guidance Counselors [District] 2017-18,Other Guidance Counselors [District] 2017-18,Total Guidance Counselors [District] 2017-18,Librarians/Media Specialists [District] 2017-18,Library Media Support Staff [District] 2017-18,LEA Administrators [District] 2017-18,LEA Administrative Support Staff [District] 2017-18,School Administrators [District] 2017-18,School Administrative Support Staff [District] 2017-18,Student Support Services Staff [District] 2017-18,Other Support Services Staff [District] 2017-18,"Total Students, All Grades (Excludes AE) [District] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2017-18",Metro Micro Area Code [District] 2017-18,Urban-centric Locale [District] 2017-18,ANSI/FIPS State Code [District] Latest available year,CBSA ID [District] 2017-18,CSA ID [District] 2017-18,Supervisory Union (ID) Number [District] 2017-18,Congressional Code [District] 2017-18,Census ID (CENSUSID) [District Finance] 2017-18,LEA Charter Status [District] 2017-18,Agency Charter Status [District] 2017-18
618,BUTTS COUNTY,Georgia,30,422,1146,3028,0,3028,2084,962,1715,1767,1767,1715,3,16,135,1129,2047,1,151,3482,16,3,135,1129,2047,1,151,3482,GEORGIA,Butts County,1300690,Butts County,13035,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,218.6,217.5,15.93,16.01,465.7,56,5.4,3,3.6,0,6.6,5,0,8.8,7,15.2,20,19.3,103.8,3482,3482,1-Metropolitan Area,41-Rural: Fringe,13,12060,122,    ,1310,11501800100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
765,CALHOUN CITY,Georgia,484,329,564,1989,243,2232,2496,1105,1928,2114,2114,1928,10,82,1446,250,2109,8,137,4042,82,10,1446,250,2109,8,137,4042,GEORGIA,Calhoun City,1300720,Gordon County,13129,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,225.7,215.1,17.91,18.79,409.5,62.7,5,4,2,0,6,1,3,7.4,6,8,14,17.6,53.1,4042,4042,2-Micropolitan Area,32-Town: Distant,13,15660,122,    ,1314,11506400100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
619,CALHOUN COUNTY,Georgia,12,50,348,600,0,600,339,198,290,319,319,290,0,0,23,566,16,0,4,609,0,0,23,566,16,0,4,609,GEORGIA,Calhoun County,1300750,Calhoun County,13037,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,38.8,38.9,15.7,15.66,103.2,9.8,3.7,1,1,0,2,2,1,3.8,1.9,4.8,5,6.8,23.6,609,609,0-New England (NECTA) or not reported,43-Rural: Remote,13,NA,NA,    ,1302,11501900100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
620,CAMDEN COUNTY,Georgia,56,1204,2707,3818,784,4602,5694,2535,4509,4743,4743,4509,24,121,732,2062,5577,13,723,9252,121,24,732,2062,5577,13,723,9252,GEORGIA,Camden County,1300780,Camden County,13039,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,563.4,563.4,16.42,16.42,1164.5,135,4,9,11,0,20,15,11,11.6,8,35,48,35,278.5,9252,9252,2-Micropolitan Area,32-Town: Distant,13,41220,300,    ,1301,11502000100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
621,CANDLER COUNTY,Georgia,63,289,933,1976,0,1976,1325,570,1051,1144,1144,1051,1,14,436,650,1022,5,67,2195,14,1,436,650,1022,5,67,2195,GEORGIA,Candler County,1300810,Candler County,13043,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,127.7,127.8,17.19,17.18,290.4,51.6,3,1,2.1,0,3.1,2,3,6.4,2.7,9.1,12.1,9.8,59.9,2195,2195,0-New England (NECTA) or not reported,33-Town: Remote,13,NA,NA,    ,1312,11502100100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
622,CARROLL COUNTY,Georgia,348,2100,3618,7465,1438,8903,8929,4296,7143,7734,7734,7143,27,66,1329,2539,9943,4,969,14877,66,27,1329,2539,9943,4,969,14877,GEORGIA,Carroll County,1300840,Carroll County,13045,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,955.2,918.3,15.57,16.2,1834,243.8,12.5,13,23.6,0,36.6,22.7,2,15,13,56,76,74.5,326.7,14877,14877,1-Metropolitan Area,41-Rural: Fringe,13,12060,122,    ,1303,11502200100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
766,CARROLLTON CITY,Georgia,296,560,1717,2783,269,3052,2990,1610,2519,2600,2600,2519,5,70,1081,1667,2037,1,258,5119,70,5,1081,1667,2037,1,258,5119,GEORGIA,Carrollton City,1300870,Carroll County,13045,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,308.7,308.8,16.58,16.58,585.6,71,0,4.2,5.2,0,9.4,4.1,2,10,6,20.1,25.5,17.7,111.1,5119,5119,1-Metropolitan Area,31-Town: Fringe,13,12060,122,    ,1303,11502200200000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
767,CARTERSVILLE CITY,Georgia,385,445,797,2041,310,2351,2701,1360,2202,2326,2326,2202,5,85,902,1007,2305,6,218,4528,85,5,902,1007,2305,6,218,4528,GEORGIA,Cartersville City,1300900,Bartow County,13015,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,263.2,263.3,17.2,17.2,470.4,42.5,6.4,4,5,0,9,1,4,8,7.5,10.8,17,23.5,77.5,4528,4528,1-Metropolitan Area,23-Suburb: Small,13,12060,122,    ,1311,11500800200000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
623,CATOOSA COUNTY,Georgia,114,1872,2262,4276,973,5249,6366,3380,5097,5693,5693,5097,16,186,441,347,9416,28,356,10790,186,16,441,347,9416,28,356,10790,GEORGIA,Catoosa County,1300930,Catoosa County,13047,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,765,757.1,14.1,14.25,1718.9,266.3,5.7,11,15.5,0,26.5,17.5,0,11.1,20,49.5,77.5,72.7,407.1,10790,10790,1-Metropolitan Area,21-Suburb: Large,13,16860,174,    ,1314,11502300100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
868,CENTRAL SAVANNAH RIVER RESA,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA,Central Savannah River RESA,1300015,McDuffie County,13189,NA,NA,4-Regional Education Service Agency (RESA),07-Educational service agency,0,NA,NA,NA,25.1,0,6.4,0,0,0,0,0,0,4.5,3,0,2,5.7,3.5,NA,NA,1-Metropolitan Area,41-Rural: Fringe,13,12260,NA,    ,1310,11509440100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,NA
624,CHARLTON COUNTY,Georgia,4,193,525,1074,154,1228,1048,444,821,905,905,821,7,12,44,504,1057,0,102,1726,12,7,44,504,1057,0,102,1726,GEORGIA,Charlton County,1300990,Charlton County,13049,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,108.1,108.2,15.97,15.95,215.8,21,2.2,1.4,1.6,0,3,3.2,3,6.3,3,6,10,5,45,1726,1726,0-New England (NECTA) or not reported,41-Rural: Fringe,13,NA,NA,    ,1301,11502400100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
