"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2017-18","611","Bibb County","0105","Howard High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,1188,200,536,468,531
"2017-18","611","Bibb County","0105","Howard High School","All Students","Math Section Score - New",2136539,65790,1188,200,516,445,501
"2017-18","611","Bibb County","0105","Howard High School","All Students","Reading Test  Score - New",2136539,65796,1188,200,270,235,267
"2017-18","611","Bibb County","0105","Howard High School","All Students","WritLang Test  Score - New",2136539,65799,1188,200,266,233,264
"2017-18","611","Bibb County","0186","Central High School","All Students","Combined Test Score",2136539,65795,1188,234,1052,913,931
"2017-18","611","Bibb County","0186","Central High School","All Students","Essay Analysis Score - New",1449142,28569,1013,216,4,3,3
"2017-18","611","Bibb County","0186","Central High School","All Students","Essay Reading Score - New",1449142,28569,1013,216,5,4,4
"2017-18","611","Bibb County","0186","Central High School","All Students","Essay Total",1449142,28569,1013,216,13,11,11
"2017-18","611","Bibb County","0186","Central High School","All Students","Essay Writing Score - New",1449142,28569,1013,216,5,4,4
"2017-18","611","Bibb County","0186","Central High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,1188,234,536,468,474
"2017-18","611","Bibb County","0186","Central High School","All Students","Math Section Score - New",2136539,65790,1188,234,516,445,457
"2017-18","611","Bibb County","0186","Central High School","All Students","Reading Test  Score - New",2136539,65796,1188,234,270,235,237
"2017-18","611","Bibb County","0186","Central High School","All Students","WritLang Test  Score - New",2136539,65799,1188,234,266,233,236
"2017-18","611","Bibb County","0198","Westside High School","All Students","Combined Test Score",2136539,65795,1188,242,1052,913,871
"2017-18","611","Bibb County","0198","Westside High School","All Students","Essay Analysis Score - New",1449142,28569,1013,200,4,3,2
"2017-18","611","Bibb County","0198","Westside High School","All Students","Essay Reading Score - New",1449142,28569,1013,200,5,4,4
"2017-18","611","Bibb County","0198","Westside High School","All Students","Essay Total",1449142,28569,1013,200,13,11,10
"2017-18","611","Bibb County","0198","Westside High School","All Students","Essay Writing Score - New",1449142,28569,1013,200,5,4,4
"2017-18","611","Bibb County","0198","Westside High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,1188,242,536,468,445
"2017-18","611","Bibb County","0198","Westside High School","All Students","Math Section Score - New",2136539,65790,1188,242,516,445,426
"2017-18","611","Bibb County","0198","Westside High School","All Students","Reading Test  Score - New",2136539,65796,1188,242,270,235,224
"2017-18","611","Bibb County","0198","Westside High School","All Students","WritLang Test  Score - New",2136539,65799,1188,242,266,233,222
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Combined Test Score",2136539,65795,1188,211,1052,913,947
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Essay Analysis Score - New",1449142,28569,1013,184,4,3,3
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Essay Reading Score - New",1449142,28569,1013,184,5,4,4
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Essay Total",1449142,28569,1013,184,13,11,11
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Essay Writing Score - New",1449142,28569,1013,184,5,4,4
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,1188,211,536,468,489
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Math Section Score - New",2136539,65790,1188,211,516,445,458
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Reading Test  Score - New",2136539,65796,1188,211,270,235,248
"2017-18","611","Bibb County","0204","Rutland High School","All Students","WritLang Test  Score - New",2136539,65799,1188,211,266,233,242
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Combined Test Score",2136539,65795,1188,149,1052,913,844
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Essay Analysis Score - New",1449142,28569,1013,141,4,3,2
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Essay Reading Score - New",1449142,28569,1013,141,5,4,3
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Essay Total",1449142,28569,1013,141,13,11,9
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Essay Writing Score - New",1449142,28569,1013,141,5,4,4
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,1188,149,536,468,431
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Math Section Score - New",2136539,65790,1188,149,516,445,413
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Reading Test  Score - New",2136539,65796,1188,149,270,235,216
"2017-18","611","Bibb County","0286","Northeast High School","All Students","WritLang Test  Score - New",2136539,65799,1188,149,266,233,215
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Combined Test Score",2136539,65795,1188,152,1052,913,814
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Essay Analysis Score - New",1449142,28569,1013,120,4,3,2
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Essay Reading Score - New",1449142,28569,1013,120,5,4,3
