District ID,County Name,District Average Composite Score,State Composite Bracket,State Average Composite
664,Gordon County,20.0,Average,21.0
665,Grady County,17.3,Below Average,21.0
666,Greene County,16.2,Below Average,21.0
667,Gwinnett County,22.6,Average,21.0
668,Habersham County,21.2,Average,21.0
669,Hall County,20.9,Average,21.0
670,Hancock County,,0,21.0
671,Haralson County,21.4,Average,21.0
672,Harris County,20.3,Average,21.0
673,Hart County,19.5,Average,21.0
674,Heard County,19.0,Average,21.0
675,Henry County,19.4,Average,21.0
676,Houston County,20.6,Average,21.0
677,Irwin County,19.9,Average,21.0
678,Jackson County,21.2,Average,21.0
679,Jasper County,18.8,Below Average,21.0
680,Jeff Davis County,17.7,Below Average,21.0
681,Jefferson County,16.6,Below Average,21.0
682,Jenkins County,17.6,Below Average,21.0
683,Johnson County,17.6,Below Average,21.0
684,Jones County,19.3,Average,21.0
685,Lamar County,18.4,Below Average,21.0
686,Lanier County,17.8,Below Average,21.0
687,Laurens County,18.6,Below Average,21.0
688,Lee County,21.3,Average,21.0
689,Liberty County,18.9,Below Average,21.0
690,Lincoln County,19.4,Average,21.0
691,Long County,18.9,Below Average,21.0
692,Lowndes County,21.5,Average,21.0
693,Lumpkin County,21.5,Average,21.0
694,Macon County,15.6,Below Average,21.0
695,Madison County,21.1,Average,21.0
696,Marion County,16.8,Below Average,21.0
697,McDuffie County,18.4,Below Average,21.0
698,McIntosh County,19.6,Average,21.0
699,Meriwether County,16.8,Below Average,21.0
700,Miller County,18.4,Below Average,21.0
701,Mitchell County,17.4,Below Average,21.0
702,Monroe County,20.8,Average,21.0
703,Montgomery County,,0,21.0
704,Morgan County,20.8,Average,21.0
705,Murray County,18.7,Below Average,21.0
706,Muscogee County,19.6,Average,21.0
707,Newton County,19.3,Average,21.0
708,Oconee County,24.0,Above Average,21.0
709,Oglethorpe County,21.0,Average,21.0
710,Paulding County,20.5,Average,21.0
711,Peach County,18.1,Below Average,21.0
712,Pickens County,22.1,Average,21.0
713,Pierce County,20.4,Average,21.0
714,Pike County,21.2,Average,21.0
715,Polk County,19.2,Average,21.0
716,Pulaski County,19.4,Average,21.0
717,Putnam County,18.6,Below Average,21.0
718,Quitman County,16.3,Below Average,21.0
719,Rabun County,20.2,Average,21.0
720,Randolph County,15.8,Below Average,21.0
721,Richmond County,18.4,Below Average,21.0
722,Rockdale County,18.7,Below Average,21.0
723,Schley County,19.4,Average,21.0
724,Screven County,18.9,Below Average,21.0
725,Seminole County,18.1,Below Average,21.0
726,Griffin-Spalding County,18.5,Below Average,21.0
727,Stephens County,20.2,Average,21.0
728,Stewart County,15.1,Below Average,21.0
729,Sumter County,17.1,Below Average,21.0
730,Talbot County,,0,21.0
731,Taliaferro County,,0,21.0
732,Tattnall County,19.7,Average,21.0
733,Taylor County,19.1,Average,21.0
734,Telfair County,,0,21.0
735,Terrell County,16.0,Below Average,21.0
736,Thomas County,18.8,Below Average,21.0
737,Tift County,19.6,Average,21.0
738,Toombs County,17.9,Below Average,21.0
739,Towns County,21.0,Average,21.0
740,Treutlen County,,0,21.0
741,Troup County,19.7,Average,21.0
742,Turner County,16.7,Below Average,21.0
743,Twiggs County,15.8,Below Average,21.0
744,Union County,20.6,Average,21.0
745,Thomaston-Upson County,18.5,Below Average,21.0
746,Walker County,19.7,Average,21.0
747,Walton County,20.3,Average,21.0
748,Ware County,19.8,Average,21.0
749,Warren County,18.1,Below Average,21.0
750,Washington County,18.7,Below Average,21.0
751,Wayne County,17.6,Below Average,21.0
752,Webster County,17.5,Below Average,21.0
753,Wheeler County,,0,21.0
754,White County,21.2,Average,21.0
755,Whitfield County,19.7,Average,21.0
756,Wilcox County,17.9,Below Average,21.0
757,Wilkes County,16.7,Below Average,21.0
758,Wilkinson County,17.0,Below Average,21.0
759,Worth County,18.4,Below Average,21.0
761,Atlanta Public Schools,18.8,Below Average,21.0
763,Bremen City,21.6,Average,21.0
764,Buford City,23.2,Above Average,21.0
765,Calhoun City,20.6,Average,21.0
766,Carrollton City,20.7,Average,21.0
767,Cartersville City,20.8,Average,21.0
769,Chickamauga City,20.5,Average,21.0
771,Commerce City,20.7,Average,21.0
772,Dalton Public Schools,21.5,Average,21.0
773,Decatur City,25.1,Above Average,21.0
774,Dublin City,16.8,Below Average,21.0
776,Gainesville City,19.8,Average,21.0
779,Jefferson City,22.1,Average,21.0
781,Marietta City,20.9,Average,21.0
784,Pelham City,17.0,Below Average,21.0
785,Rome City,20.8,Average,21.0
786,Social Circle City,20.8,Average,21.0
789,Thomasville City,19.1,Average,21.0
791,Trion City,21.1,Average,21.0
792,Valdosta City,19.1,Average,21.0
793,Vidalia City,20.1,Average,21.0
