"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2017-18","608","Bartow County","0198","Woodland High School","All Students","English",1914817,45077,312,106,20.2,20.4,19.7,20.9
"2017-18","608","Bartow County","0198","Woodland High School","All Students","Mathematics",1914817,45080,312,106,20.5,20.4,19.3,19.9
"2017-18","608","Bartow County","0198","Woodland High School","All Students","Reading",1914817,45076,312,106,21.3,21.7,21.1,22
"2017-18","608","Bartow County","0198","Woodland High School","All Students","Science",1914817,45077,312,106,20.7,21,20.5,21.4
"2017-18","608","Bartow County","0198","Woodland High School","All Students","Writing Subscore",903603,14029,77,31,6.5,6.9,6.6,7
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","All Students","Composite",1914817,45081,41,41,20.8,21,18.7,18.7
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","All Students","English",1914817,45077,41,41,20.2,20.4,17.7,17.7
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","All Students","Mathematics",1914817,45080,41,41,20.5,20.4,18.8,18.8
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","All Students","Reading",1914817,45076,41,41,21.3,21.7,18.8,18.8
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","All Students","Science",1914817,45077,41,41,20.7,21,18.9,18.9
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","All Students","Writing Subscore",903603,14029,8,8,6.5,6.9,,
"2017-18","610","Berrien County","0101","Berrien High School","All Students","Composite",1914817,45081,6,6,20.8,21,,
"2017-18","610","Berrien County","0101","Berrien High School","All Students","English",1914817,45077,6,6,20.2,20.4,,
"2017-18","610","Berrien County","0101","Berrien High School","All Students","Mathematics",1914817,45080,6,6,20.5,20.4,,
"2017-18","610","Berrien County","0101","Berrien High School","All Students","Reading",1914817,45076,6,6,21.3,21.7,,
"2017-18","610","Berrien County","0101","Berrien High School","All Students","Science",1914817,45077,6,6,20.7,21,,
"2017-18","610","Berrien County","0101","Berrien High School","All Students","Writing Subscore",903603,14029,1,1,6.5,6.9,,
"2017-18","611","Bibb County","0105","Howard High School","All Students","Composite",1914817,45081,360,54,20.8,21,17.4,20.3
"2017-18","611","Bibb County","0105","Howard High School","All Students","English",1914817,45077,360,54,20.2,20.4,16.2,20.1
"2017-18","611","Bibb County","0105","Howard High School","All Students","Mathematics",1914817,45080,360,54,20.5,20.4,17.2,19.8
"2017-18","611","Bibb County","0105","Howard High School","All Students","Reading",1914817,45076,360,54,21.3,21.7,17.6,20.2
"2017-18","611","Bibb County","0105","Howard High School","All Students","Science",1914817,45077,360,54,20.7,21,17.9,20.4
"2017-18","611","Bibb County","0105","Howard High School","All Students","Writing Subscore",903603,14029,130,21,6.5,6.9,6.2,7
"2017-18","611","Bibb County","0186","Central High School","All Students","Composite",1914817,45081,360,90,20.8,21,17.4,17.3
"2017-18","611","Bibb County","0186","Central High School","All Students","English",1914817,45077,360,90,20.2,20.4,16.2,16.2
"2017-18","611","Bibb County","0186","Central High School","All Students","Mathematics",1914817,45080,360,90,20.5,20.4,17.2,17.1
"2017-18","611","Bibb County","0186","Central High School","All Students","Reading",1914817,45076,360,90,21.3,21.7,17.6,17.6
"2017-18","611","Bibb County","0186","Central High School","All Students","Science",1914817,45077,360,90,20.7,21,17.9,17.8
"2017-18","611","Bibb County","0186","Central High School","All Students","Writing Subscore",903603,14029,130,25,6.5,6.9,6.2,6.7
"2017-18","611","Bibb County","0198","Westside High School","All Students","Composite",1914817,45081,360,115,20.8,21,17.4,16.5
"2017-18","611","Bibb County","0198","Westside High School","All Students","English",1914817,45077,360,115,20.2,20.4,16.2,15.1
"2017-18","611","Bibb County","0198","Westside High School","All Students","Mathematics",1914817,45080,360,115,20.5,20.4,17.2,16.4
"2017-18","611","Bibb County","0198","Westside High School","All Students","Reading",1914817,45076,360,115,21.3,21.7,17.6,17
"2017-18","611","Bibb County","0198","Westside High School","All Students","Science",1914817,45077,360,115,20.7,21,17.9,17.1
"2017-18","611","Bibb County","0198","Westside High School","All Students","Writing Subscore",903603,14029,130,50,6.5,6.9,6.2,5.9
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Composite",1914817,45081,360,43,20.8,21,17.4,17.4
"2017-18","611","Bibb County","0204","Rutland High School","All Students","English",1914817,45077,360,43,20.2,20.4,16.2,16.3
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Mathematics",1914817,45080,360,43,20.5,20.4,17.2,16.8
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Reading",1914817,45076,360,43,21.3,21.7,17.6,17.7
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Science",1914817,45077,360,43,20.7,21,17.9,18.3
"2017-18","611","Bibb County","0204","Rutland High School","All Students","Writing Subscore",903603,14029,130,16,6.5,6.9,6.2,5.6
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Composite",1914817,45081,360,35,20.8,21,17.4,16
"2017-18","611","Bibb County","0286","Northeast High School","All Students","English",1914817,45077,360,35,20.2,20.4,16.2,14.2
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Mathematics",1914817,45080,360,35,20.5,20.4,17.2,16.4
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Reading",1914817,45076,360,35,21.3,21.7,17.6,16.3
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Science",1914817,45077,360,35,20.7,21,17.9,16.5
"2017-18","611","Bibb County","0286","Northeast High School","All Students","Writing Subscore",903603,14029,130,12,6.5,6.9,6.2,6.4
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Composite",1914817,45081,360,23,20.8,21,17.4,17
"2017-18","611","Bibb County","0386","Southwest High School","All Students","English",1914817,45077,360,23,20.2,20.4,16.2,16
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Mathematics",1914817,45080,360,23,20.5,20.4,17.2,17.2
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Reading",1914817,45076,360,23,21.3,21.7,17.6,16.8
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Science",1914817,45077,360,23,20.7,21,17.9,17.7
"2017-18","611","Bibb County","0386","Southwest High School","All Students","Writing Subscore",903603,14029,130,6,6.5,6.9,6.2,
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Composite",1914817,45081,37,37,20.8,21,19.9,19.9
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","English",1914817,45077,37,37,20.2,20.4,18.4,18.4
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Mathematics",1914817,45080,37,37,20.5,20.4,19.5,19.5
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Reading",1914817,45076,37,37,21.3,21.7,20.2,20.2
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Science",1914817,45077,37,37,20.7,21,20.8,20.8
"2017-18","612","Bleckley County","0105","Bleckley County High School","All Students","Writing Subscore",903603,14029,5,5,6.5,6.9,,
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","Composite",1914817,45081,49,49,20.8,21,20.8,20.8
"2017-18","613","Brantley County","1050","Brantley County High School","All Students","English",1914817,45077,49,49,20.2,20.4,20.2,20.2
