LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2018-19,608,Bartow County,114,Cass High School,All Students,Science,1782820,32389,236,111,20.6,20.4,20.1,20
2018-19,608,Bartow County,114,Cass High School,All Students,Writing Subscore,788161,7605,38,13,6.5,6.7,6.6,6.3
2018-19,608,Bartow County,198,Woodland High School,All Students,Composite,1782820,32389,236,83,20.7,20.4,20,20.1
2018-19,608,Bartow County,198,Woodland High School,All Students,English,1782820,32388,236,83,20.1,19.8,19.4,19.7
2018-19,608,Bartow County,198,Woodland High School,All Students,Mathematics,1782820,32391,236,83,20.4,19.8,18.9,18.8
2018-19,608,Bartow County,198,Woodland High School,All Students,Reading,1782820,32390,236,83,21.2,21.3,21.1,21.3
2018-19,608,Bartow County,198,Woodland High School,All Students,Science,1782820,32389,236,83,20.6,20.4,20.1,20.1
2018-19,608,Bartow County,198,Woodland High School,All Students,Writing Subscore,788161,7605,38,18,6.5,6.7,6.6,6.7
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Composite,1782820,32389,30,30,20.7,20.4,17.8,17.8
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,English,1782820,32388,30,30,20.1,19.8,16.7,16.7
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Mathematics,1782820,32391,30,30,20.4,19.8,17.6,17.6
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Reading,1782820,32390,30,30,21.2,21.3,18,18
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Science,1782820,32389,30,30,20.6,20.4,18,18
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Writing Subscore,788161,7605,1,1,6.5,6.7,,
2018-19,610,Berrien County,101,Berrien High School,All Students,Composite,1782820,32389,5,5,20.7,20.4,,
2018-19,610,Berrien County,101,Berrien High School,All Students,English,1782820,32388,5,5,20.1,19.8,,
2018-19,610,Berrien County,101,Berrien High School,All Students,Mathematics,1782820,32391,5,5,20.4,19.8,,
2018-19,610,Berrien County,101,Berrien High School,All Students,Reading,1782820,32390,5,5,21.2,21.3,,
2018-19,610,Berrien County,101,Berrien High School,All Students,Science,1782820,32389,5,5,20.6,20.4,,
2018-19,611,Bibb County,105,Howard High School,All Students,Composite,1782820,32389,257,43,20.7,20.4,17.4,19.3
2018-19,611,Bibb County,105,Howard High School,All Students,English,1782820,32388,257,43,20.1,19.8,16.5,18.5
2018-19,611,Bibb County,105,Howard High School,All Students,Mathematics,1782820,32391,257,43,20.4,19.8,17,18.6
2018-19,611,Bibb County,105,Howard High School,All Students,Reading,1782820,32390,258,43,21.2,21.3,18,20.7
2018-19,611,Bibb County,105,Howard High School,All Students,Science,1782820,32389,257,43,20.6,20.4,17.8,18.8
2018-19,611,Bibb County,105,Howard High School,All Students,Writing Subscore,788161,7605,61,5,6.5,6.7,6.3,
